,Name,Position,Appearances,Clean sheets,Goals Conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big Chances Created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Goals,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed,Saves,Penalties Saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks
251,Fábio Silva ,Forward,32,,,6,,,16,4,5,3,,,,,,,,,,3,323,10.09,1,5,,,,2,0,20,5,4,0,3,1,2,0.13,1,0,48,17,35%,4,,,,,,,,
252,Fabri ,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
253,Malachi Fagan-Walcott ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
254,Juan Familia-Castillo ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
255,Felipe Anderson ,Midfielder,2,,,1,100%,,0,0,0,0,,0,1,0,0,0,0,,0,0,5,2.50,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
256,Josh Felix-Eppiah ,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
257,Nathan Ferguson ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
258,Federico Fernández ,Defender,24,5,38,29,76%,0,0,17,144,79,0,91,92,50,0,49,29,1,0,0,834,34.75,1,13,23%,0,54,4,0,15,0,0,0,0,0,0,,,,,,,,,,,,,,,
259,Fernandinho ,Midfielder,21,,,31,55%,,4,23,17,12,,91,82,70,10,30,18,,0,2,"1,014",48.29,3,6,17%,1,47,6,0,22,0,0,0,0,0,0,0.00,0,0,14,3,21%,1,,,,,,,,
260,Will Ferry ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
261,Sam Field ,Midfielder,3,,,5,100%,,0,2,3,1,,7,10,5,1,3,2,,0,0,24,8.00,0,0,0%,0,1,0,0,2,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
262,Ryan Finnigan ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
263,William Fish ,Defender,1,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
264,Ethan Fitzhugh ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
265,John Fleck ,Midfielder,31,,,51,65%,,6,28,10,4,,156,121,157,30,12,20,,0,2,"1,139",36.74,2,96,22%,2,39,4,0,33,0,0,0,0,0,1,0.00,0,0,17,5,29%,0,,,,,,,,
266,Shane Flynn ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
267,Phil Foden ,Midfielder,28,,,22,50%,,12,11,10,5,,72,110,96,38,16,27,,0,5,762,27.21,5,74,18%,2,9,0,0,12,3,9,0,4,5,2,0.32,0,0,45,20,44%,4,,,,,,,,
268,Wes Foderingham ,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
269,Wesley Fofana ,Defender,28,6,30,51,73%,1,2,61,92,57,0,181,183,130,15,91,61,0,0,0,"1,688",60.29,0,2,0%,1,75,7,0,37,2,0,0,0,0,1,,,,,,,,,,,,,,,
270,Pablo Fornals ,Midfielder,33,,,44,59%,,18,36,7,3,,163,113,177,29,23,41,,0,4,"1,059",32.09,3,45,13%,1,28,3,0,26,7,5,0,4,1,4,0.15,0,0,50,16,32%,7,,,,,,,,
271,Adam Forshaw ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
272,Fraser Forster ,Goalkeeper,8,2,11,,,,,,,,,,,,,,,0,0,0,243,30.38,,,,,36,0,0,1,,0,,,,,,,,,,,,20,1,7,6,0,5,28,64
273,Timothy Fosu-Mensah ,Defender,1,0,2,2,0%,0,1,3,1,0,0,7,5,4,2,1,1,0,0,0,66,66.00,1,4,25%,0,1,1,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,
274,Juan Foyth ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
275,Tyrese Francois ,Midfielder,1,,,0,0%,,0,0,0,0,,0,0,2,0,0,1,,0,0,13,13.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
276,Ryan Fraser ,Midfielder,18,,,4,25%,,4,6,5,0,,30,32,35,3,5,22,,0,2,262,14.56,3,103,24%,0,3,0,1,5,0,0,0,0,0,1,0.00,0,0,13,6,46%,1,,,,,,,,
277,Fred ,Midfielder,30,,,81,48%,,9,45,21,4,,228,144,154,24,9,14,,0,0,"1,806",60.20,4,9,0%,5,98,5,0,45,1,1,0,0,1,0,0.03,0,0,25,7,28%,1,,,,,,,,
278,Ryan Fredericks ,Defender,14,1,9,9,56%,0,2,11,19,7,0,30,28,35,3,8,14,0,0,1,226,16.14,1,23,26%,1,2,2,0,11,1,1,0,1,0,0,,,,,,,,,,,,,,,
279,Luke Freeman ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
280,Christian Fuchs ,Defender,9,3,9,18,39%,0,2,16,30,19,1,42,42,37,0,20,13,0,0,0,524,58.22,0,11,9%,0,24,4,0,14,0,0,0,0,0,0,,,,,,,,,,,,,,,
281,Darnell Furlong ,Defender,35,6,63,45,60%,0,3,49,78,45,1,98,205,167,10,119,90,1,0,3,816,23.31,4,99,17%,0,41,5,0,34,3,1,0,1,0,1,,,,,,,,,,,,,,,
282,Gabriel Jesus ,Forward,29,,,17,,,22,15,5,2,,,,,,,,,,4,732,25.24,5,11,,,,2,0,28,17,9,1,5,3,1,0.31,0,0,55,16,29%,5,,,,,,,,
283,Gabriel Magalhães ,Defender,23,6,24,25,60%,1,5,26,73,42,1,118,113,76,5,57,41,0,1,0,"1,550",67.39,0,2,50%,1,51,2,1,23,0,2,1,0,0,1,,,,,,,,,,,,,,,
284,Gabriel Martinelli ,Forward,14,,,7,14%,,3,8,3,1,,22,31,47,13,7,15,,0,1,144,10.29,3,12,42%,1,3,0,0,9,1,2,0,1,1,0,0.14,0,0,20,8,40%,2,,,,,,,,
285,Ethan Galbraith ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
286,Tony Gallacher ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
287,Conor Gallagher ,Midfielder,30,,,81,51%,,9,27,27,10,,185,196,204,30,23,36,,0,2,890,29.67,1,66,17%,1,48,11,0,43,0,2,0,2,0,2,0.07,0,0,29,7,24%,1,,,,,,,,
288,Eric García ,Defender,6,0,12,8,88%,0,0,4,10,3,0,19,13,14,0,3,8,0,0,0,339,56.50,0,0,0%,1,10,0,0,4,0,0,0,0,0,0,,,,,,,,,,,,,,,
289,Taylor Gardner-Hickman ,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
290,James Garner ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
291,Dwight Gayle ,Forward,18,,,2,,,3,1,2,0,,,,,,,,,,1,108,6.00,0,5,,,,0,0,6,3,1,1,0,0,1,0.06,0,0,16,7,44%,5,,,,,,,,
292,Paulo Gazzaniga ,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
293,Jean-Philippe Gbamin ,Midfielder,1,,,1,0%,,0,0,1,0,,2,1,2,0,0,0,,0,0,9,9.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
294,Gedson Fernandes ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
295,Joe Gelhardt ,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
296,Rachid Ghezzal ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
297,Kieran Gibbs ,Defender,10,0,22,15,73%,0,0,16,27,12,0,47,28,25,2,9,16,0,0,0,264,26.40,1,11,27%,0,11,1,1,6,0,0,0,0,0,0,,,,,,,,,,,,,,,
298,Morgan Gibbs-White ,Midfielder,11,,,9,78%,,3,3,1,0,,27,29,29,8,2,7,,0,0,222,20.18,0,11,0%,0,9,1,0,5,1,1,0,1,0,0,0.09,0,0,10,4,40%,1,,,,,,,,
299,Ben Gibson ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
300,Ryan Giles ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
301,Mark Gillespie ,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
302,Billy Gilmour ,Midfielder,5,,,4,50%,,1,3,1,0,,11,9,12,1,2,2,,0,0,225,45.00,0,2,0%,1,6,0,0,2,0,0,0,0,0,0,0.00,0,0,1,0,0%,0,,,,,,,,
303,Olivier Giroud ,Forward,17,,,4,,,4,5,10,8,,,,,,,,,,0,219,12.88,1,2,,,,1,0,15,6,4,1,0,3,1,0.24,0,0,29,11,38%,6,,,,,,,,
304,Ben Godfrey ,Defender,31,11,35,55,60%,0,5,33,110,62,1,136,138,70,9,57,32,1,0,2,"1,219",39.32,2,6,50%,1,36,4,0,15,4,0,0,0,0,0,,,,,,,,,,,,,,,
305,Claudio Gomes ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
306,Joseph Gomez ,Defender,7,0,14,3,67%,0,0,4,28,12,0,35,34,30,4,21,18,0,0,0,556,79.43,0,0,0%,0,39,0,0,6,0,0,0,0,0,0,,,,,,,,,,,,,,,
307,Gonçalo Cardoso ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
308,Mace Goodridge ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
309,John-Kymani Gordon ,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
310,Robbie Gotts ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
311,Kamil Grabara ,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
312,Sam Graham ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
313,Lee Grant ,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
314,Demarai Gray ,Forward,1,,,1,,,0,0,0,0,,,,,,,,,,0,9,9.00,0,2,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,1,0,0%,0,,,,,,,,
315,Jack Grealish ,Midfielder,26,,,31,45%,,21,12,4,2,,125,231,150,65,26,28,,0,10,996,38.31,14,76,22%,2,30,6,0,40,7,6,0,6,0,1,0.23,0,0,50,19,38%,4,,,,,,,,
316,Sam Greenwood ,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
317,Pascal Groß ,Midfielder,34,,,45,53%,,15,23,15,7,,149,92,119,9,22,43,,0,8,"1,424",41.88,5,219,31%,1,93,3,0,19,5,3,0,3,0,2,0.09,3,0,32,7,22%,2,,,,,,,,
318,Kamil Grosicki ,Midfielder,3,,,2,50%,,1,2,1,0,,6,2,11,0,0,2,,0,1,40,13.33,1,5,0%,0,2,0,0,1,0,0,0,0,0,0,0.00,0,0,3,0,0%,0,,,,,,,,
319,Jay-Roy Grot ,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
320,Marko Grujic ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
321,Vicente Guaita ,Goalkeeper,37,8,64,,,,,,,,,,,,,,,0,1,0,921,24.89,,,,,253,2,0,0,,0,,,,,,,,,,,,106,1,22,16,5,8,156,315
322,Jóhann Gudmundsson ,Midfielder,22,,,19,58%,,2,17,17,7,,81,64,79,10,19,27,,0,0,437,19.86,0,31,16%,1,21,2,0,11,1,2,0,0,2,2,0.09,0,0,19,8,42%,2,,,,,,,,
323,Matteo Guendouzi ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
324,Frédéric Guilbert ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
325,Ilkay Gündogan ,Midfielder,28,,,25,60%,,11,20,9,5,,132,89,75,27,12,13,,0,2,"1,714",61.21,3,30,30%,4,45,1,0,8,1,13,1,9,3,0,0.46,1,0,54,22,41%,5,,,,,,,,
326,Angus Gunn ,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
327,Peter Gwargis ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
328,Viktor Gyökeres ,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
329,Antwoine Hackford ,Forward,1,,,0,,,1,0,0,0,,,,,,,,,,0,1,1.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,1,0,0%,0,,,,,,,,
330,Sébastien Haller ,Forward,16,,,14,,,3,5,7,7,,,,,,,,,,0,245,15.31,1,2,,,,0,0,24,10,3,1,2,0,1,0.19,0,0,25,11,44%,3,,,,,,,,
331,Reece Hannam ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
332,Joseph Hardy ,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
333,George Harmon ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
334,Rekeem Harper ,Midfielder,2,,,0,0%,,0,1,0,0,,2,3,1,2,1,0,,0,0,17,8.50,0,0,0%,0,1,0,0,1,0,0,0,0,0,0,0.00,0,0,1,1,100%,0,,,,,,,,
335,Jayden Harris ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
336,Jack Harrison ,Midfielder,36,,,63,60%,,7,15,18,6,,153,154,200,42,26,41,,0,8,989,27.47,10,167,19%,2,32,2,0,28,12,8,0,5,3,2,0.22,0,0,45,19,42%,6,,,,,,,,
337,Harrison Sohna ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
338,Joe Hart ,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
339,Harvey Davies ,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
340,Taylor Harwood-Bellis ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
341,Kortney Hause ,Defender,7,,,4,50%,,0,8,53,28,,33,46,25,0,39,17,,0,0,232,33.14,0,0,0%,0,16,2,0,5,0,1,1,0,0,1,0.14,0,0,5,1,20%,1,,,,,,,,
342,Kai Havertz ,Midfielder,27,,,18,50%,,6,4,20,17,,71,80,119,19,29,33,,1,3,766,28.37,1,11,9%,2,11,2,0,27,7,4,0,0,4,0,0.15,0,0,33,16,48%,9,,,,,,,,
343,Kaine Hayden ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
344,Tom Heaton ,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
345,Michael Hector ,Defender,4,0,10,3,67%,0,1,0,6,4,1,19,15,14,3,6,4,0,0,0,186,46.50,0,0,0%,0,20,2,0,5,0,0,0,0,0,0,,,,,,,,,,,,,,,
346,Karl Hein ,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
347,Hélder Costa ,Forward,22,,,25,,,5,3,5,3,,,,,,,,,,3,303,13.77,0,21,,,,0,0,20,3,3,0,1,2,0,0.14,0,0,16,6,38%,3,,,,,,,,
348,Stephen Henderson ,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
349,Jeff Hendrick ,Midfielder,22,,,8,38%,,2,19,13,6,,68,40,75,9,13,27,,0,1,538,24.45,1,6,33%,0,28,1,1,15,3,2,0,2,0,0,0.09,0,0,10,2,20%,0,,,,,,,,
350,Wayne Hennessey ,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
351,Thomas Hill ,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
352,James Hillson ,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
353,George Hirst ,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
354,Wesley Hoedt ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
355,Ki-Jana Hoever ,Defender,12,0,11,14,43%,0,0,9,22,8,0,45,37,40,13,6,9,0,0,0,291,24.25,0,21,10%,0,11,1,0,4,1,0,0,0,0,0,,,,,,,,,,,,,,,
356,Rob Holding ,Defender,30,11,26,43,47%,0,0,24,119,82,1,138,127,112,8,72,60,1,0,1,"1,802",60.07,0,2,50%,0,92,2,0,25,2,0,0,0,0,1,,,,,,,,,,,,,,,
357,Mason Holgate ,Defender,28,9,32,56,64%,1,0,35,82,38,0,139,132,88,8,39,20,0,2,0,"1,103",39.39,1,26,19%,1,87,9,0,29,1,1,0,0,1,0,,,,,,,,,,,,,,,
358,Nathan Holland ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
359,Bryce Hosannah ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
360,Conor Hourihane ,Midfielder,4,,,0,0%,,0,0,2,1,,11,2,3,0,2,0,,0,1,133,33.25,2,27,15%,0,4,0,0,1,0,1,0,1,0,0,0.25,0,0,5,2,40%,0,,,,,,,,
361,Callum Hudson-Odoi ,Forward,23,,,23,,,12,6,5,1,,,,,,,,,,3,576,25.04,4,58,,,,0,0,11,5,2,0,2,0,1,0.09,0,0,23,6,26%,0,,,,,,,,
362,Niall Huggins ,Forward,1,,,0,,,0,0,1,1,,,,,,,,,,0,17,17.00,0,1,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
363,Liam Hughes ,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
364,Pierre-Emile Højbjerg ,Midfielder,38,,,98,52%,,2,48,64,39,,296,217,209,23,44,36,,0,4,"2,765",72.76,4,6,17%,2,108,9,0,69,0,2,0,2,0,0,0.05,0,0,14,7,50%,1,,,,,,,,
365,Odion Ighalo ,Forward,1,,,0,,,0,0,0,0,,,,,,,,,,0,2,2.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
366,Kelechi Iheanacho ,Forward,25,,,12,,,20,2,1,1,,,,,,,,,,2,504,20.16,6,13,,,,1,0,26,9,12,1,2,9,0,0.48,0,0,59,25,42%,9,,,,,,,,
367,Danny Ings ,Forward,29,,,22,,,12,3,20,12,,,,,,,,,,4,501,17.28,3,19,,,,1,0,19,18,12,1,10,1,1,0.41,2,0,57,27,47%,6,,,,,,,,
368,Ryan Inniss ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
369,Tim Iroegbunam ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
370,Ivan Cavaleiro ,Forward,36,,,23,,,10,19,14,8,,,,,,,,,,0,724,20.11,2,122,,,,2,0,30,9,3,2,1,0,0,0.08,1,0,47,17,36%,7,,,,,,,,
371,Branislav Ivanovic ,Defender,13,2,19,14,36%,0,1,8,25,19,0,36,31,27,0,13,10,0,0,0,317,24.38,0,1,0%,0,14,2,0,11,1,0,0,0,0,0,,,,,,,,,,,,,,,
372,Alex Iwobi ,Forward,30,,,27,,,8,16,13,6,,,,,,,,,,2,595,19.83,3,69,,,,0,0,13,0,1,0,1,0,0,0.03,0,0,15,3,20%,1,,,,,,,,
373,José Izquierdo ,Forward,1,,,0,,,0,0,0,0,,,,,,,,,,0,7,7.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,1,1,100%,0,,,,,,,,
374,Jaroslaw Jach ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
375,Phil Jagielka ,Defender,10,0,12,5,80%,0,0,10,26,14,0,36,19,24,0,13,12,1,0,0,204,20.40,0,1,0%,0,21,1,1,8,0,0,0,0,0,0,,,,,,,,,,,,,,,
376,Alireza Jahanbakhsh ,Forward,21,,,9,,,8,8,1,0,,,,,,,,,,1,232,11.05,6,30,,,,3,0,7,0,0,0,0,0,1,0.00,0,0,18,3,17%,2,,,,,,,,
377,Eldin Jakupovic ,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
378,Reece James ,Defender,32,9,29,55,64%,0,12,17,43,30,0,153,146,117,34,40,24,0,0,2,"1,696",53.00,4,144,24%,0,73,3,0,31,1,1,0,1,0,1,,,,,,,,,,,,,,,
